Force,Beat,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Beat,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Force,Beat,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn North
Discourtesy,Curse,Truncated,Complaint Withdrawn,Manhattan,Manhattan North
Discourtesy,Curse,Other,Miscellaneous,Manhattan,Other
Offensive Language,Other - Ethnic Slur,Other,Miscellaneous,Manhattan,Other
Discourtesy,Word,Full Investigation,Unfounded,Queens,Queens North
Abuse of Authority,Property damaged,Full Investigation,Unfounded,Queens,Queens North
Force,Physical force,Full Investigation,Unfounded,Queens,Queens North
Discourtesy,Curse,Full Investigation,Unsubstantiated,Queens,Queens South
Discourtesy,Curse,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Beat,Full Investigation,Unsubstantiated,Manhattan,Other
Force,Chokehold,Full Investigation,Unsubstantiated,Manhattan,Other
Abuse of Authority,Property damaged,Full Investigation,Exonerated,Bronx,Bronx
Force,Physical force,Full Investigation,Exonerated,Bronx,Bronx
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Bronx,Bronx
Abuse of Authority,Property Damaged,Full Investigation,Exonerated,Bronx,Bronx
Force,Physical force,Full Investigation,Exonerated,Bronx,Bronx
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Hit against inanimate object,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Queens,Queens South
Offensive Language,Race,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Threat of arrest,Full Investigation,Unsubstantiated,Queens,Queens South
Discourtesy,Word,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Gun As Club,Full Investigation,Unsubstantiated,Queens,Queens South
Abuse of Authority,Vehicle search,Full Investigation,Unsubstantiated,Queens,Queens South
Force,Nightstick as club (incl asp & baton),Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Force,Physical force,Full Investigation,Unfounded,Bronx,Bronx
Force,Physical force,Full Investigation,Unfounded,Bronx,Bronx
Force,Physical force,Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
OMN,Failure to produce stop and frisk report,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Threat of arrest,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Discourtesy,Word,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Unsubstantiated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Abuse of Authority,Question and/or stop,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Abuse of Authority,Question and/or stop,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Abuse of Authority,Question and/or stop,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Abuse of Authority,Frisk and/or search,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Force,Push/Shove,Full Investigation,Substantiated (Command Discipline),Manhattan,Manhattan South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Abuse of Authority,Premises entered and/or searched,Full Investigation,Exonerated,Queens,Queens South
Force,Physical force,Full Investigation,Exonerated,Manhattan,Manhattan North
Abuse of Authority,Frisk and/or search,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Question and/or stop,Full Investigation,Unfounded,Bronx,Bronx
Force,Physical force,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Abuse of Authority,Threat of force (verbal or physical),Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unfounded,Bronx,Bronx
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Discourtesy,Word,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Force,Gun as club,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
Force,Gun fired,Full Investigation,Unsubstantiated,Brooklyn,Brooklyn South
